target,model_name,model_path,val_precision,val_recall,val_f1,val_accuracy,val_avg_latency_ms_per_sample,val_positive_samples,val_total_samples,test_precision,test_recall,test_f1,test_accuracy,test_avg_latency_ms_per_sample,test_positive_samples,test_total_samples
has_off_by_one,logistic_regression,C:\Hello\University_Projects\code-coach\backend\models\has_off_by_one__logistic_regression.joblib,1.0,1.0,1.0,1.0,0.007458108263341962,25,296,1.0,0.9473684210526315,0.972972972972973,0.9943074003795066,0.003862428872985677,57,527
has_off_by_one,random_forest,C:\Hello\University_Projects\code-coach\backend\models\has_off_by_one__random_forest.joblib,1.0,1.0,1.0,1.0,0.03197905410874031,25,296,1.0,0.9473684210526315,0.972972972972973,0.9943074003795066,0.01819487669959353,57,527
has_off_by_one,svm,C:\Hello\University_Projects\code-coach\backend\models\has_off_by_one__svm.joblib,1.0,1.0,1.0,1.0,0.010169932392199297,25,296,1.0,0.9473684210526315,0.972972972972973,0.9943074003795066,0.007730360634172552,57,527
has_incorrect_conditional,logistic_regression,C:\Hello\University_Projects\code-coach\backend\models\has_incorrect_conditional__logistic_regression.joblib,1.0,1.0,1.0,1.0,0.006836148394221389,25,296,1.0,0.9649122807017544,0.9821428571428571,0.9962049335863378,0.0020297912640437,57,527
has_incorrect_conditional,random_forest,C:\Hello\University_Projects\code-coach\backend\models\has_incorrect_conditional__random_forest.joblib,1.0,1.0,1.0,1.0,0.030423648658560943,25,296,1.0,0.9649122807017544,0.9821428571428571,0.9962049335863378,0.018436432528032072,57,527
has_incorrect_conditional,svm,C:\Hello\University_Projects\code-coach\backend\models\has_incorrect_conditional__svm.joblib,1.0,1.0,1.0,1.0,0.01361283805611468,25,296,1.0,0.9649122807017544,0.9821428571428571,0.9962049335863378,0.012766034165627025,57,527
has_array_length_index_misuse,logistic_regression,C:\Hello\University_Projects\code-coach\backend\models\has_array_length_index_misuse__logistic_regression.joblib,1.0,1.0,1.0,1.0,0.00314831079260723,25,296,1.0,0.9473684210526315,0.972972972972973,0.9943074003795066,0.0017834915664661994,57,527
has_array_length_index_misuse,random_forest,C:\Hello\University_Projects\code-coach\backend\models\has_array_length_index_misuse__random_forest.joblib,1.0,1.0,1.0,1.0,0.03132499979393607,25,296,1.0,0.9473684210526315,0.972972972972973,0.9943074003795066,0.021810815899334212,57,527
has_array_length_index_misuse,svm,C:\Hello\University_Projects\code-coach\backend\models\has_array_length_index_misuse__svm.joblib,1.0,1.0,1.0,1.0,0.011565202667780623,25,296,1.0,0.9473684210526315,0.972972972972973,0.9943074003795066,0.008684440084734835,57,527
has_missing_break,logistic_regression,C:\Hello\University_Projects\code-coach\backend\models\has_missing_break__logistic_regression.joblib,1.0,1.0,1.0,1.0,0.0030773646997388554,25,296,1.0,1.0,1.0,1.0,0.001837191723315381,27,527
has_missing_break,random_forest,C:\Hello\University_Projects\code-coach\backend\models\has_missing_break__random_forest.joblib,1.0,1.0,1.0,1.0,0.029572297117320467,25,296,1.0,1.0,1.0,1.0,0.018515939112095273,27,527
has_missing_break,svm,C:\Hello\University_Projects\code-coach\backend\models\has_missing_break__svm.joblib,1.0,1.0,1.0,1.0,0.012655743253039751,25,296,1.0,1.0,1.0,1.0,0.010727324648504014,27,527
has_while_not_updated,logistic_regression,C:\Hello\University_Projects\code-coach\backend\models\has_while_not_updated__logistic_regression.joblib,1.0,1.0,1.0,1.0,0.004374999883332969,25,296,1.0,1.0,1.0,1.0,0.0016669830240210275,27,527
has_while_not_updated,random_forest,C:\Hello\University_Projects\code-coach\backend\models\has_while_not_updated__random_forest.joblib,1.0,1.0,1.0,1.0,0.030601351534494677,25,296,1.0,1.0,1.0,1.0,0.01888178364926882,27,527
has_while_not_updated,svm,C:\Hello\University_Projects\code-coach\backend\models\has_while_not_updated__svm.joblib,1.0,1.0,1.0,1.0,0.01621013507246971,25,296,1.0,1.0,1.0,1.0,0.010900379448379805,27,527
