snippet_id,file_path,line,label,cond_uses_leq,cond_uses_lt,cond_uses_gt_or_geq,cond_contains_length,cond_crude_off_by_one,right_is_bare_length,right_is_length_arithmetic,init_starts_at_zero,init_starts_at_one,update_is_increment,update_is_decrement,body_statement_count,body_array_access_count,loop_var_indexes_array,loop_var_body_uses,cond_char_count
gen_missing_break_bug_113,data/ml/raw_snippets_generated/missing_break_in_switch/buggy/GenMissingBreakBug113.java,33,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,17.0
gen_missing_break_fix_113,data/ml/raw_snippets_generated/missing_break_in_switch/fixed/GenMissingBreakFix113.java,34,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,17.0
gen_missing_break_bug_047,data/ml/raw_snippets_generated/missing_break_in_switch/buggy/GenMissingBreakBug047.java,4,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,18.0
gen_missing_break_bug_047,data/ml/raw_snippets_generated/missing_break_in_switch/buggy/GenMissingBreakBug047.java,41,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,16.0
gen_missing_break_fix_047,data/ml/raw_snippets_generated/missing_break_in_switch/fixed/GenMissingBreakFix047.java,4,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,18.0
gen_missing_break_fix_047,data/ml/raw_snippets_generated/missing_break_in_switch/fixed/GenMissingBreakFix047.java,42,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,16.0
gen_array_index_bug_159,data/ml/raw_snippets_generated/array_length_index_misuse/buggy/GenArrayIndexBug159.java,19,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,16.0
gen_array_index_bug_159,data/ml/raw_snippets_generated/array_length_index_misuse/buggy/GenArrayIndexBug159.java,27,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,16.0
gen_array_index_bug_159,data/ml/raw_snippets_generated/array_length_index_misuse/buggy/GenArrayIndexBug159.java,36,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,16.0
gen_array_index_fix_159,data/ml/raw_snippets_generated/array_length_index_misuse/fixed/GenArrayIndexFix159.java,19,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,16.0
gen_array_index_fix_159,data/ml/raw_snippets_generated/array_length_index_misuse/fixed/GenArrayIndexFix159.java,27,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,16.0
gen_array_index_fix_159,data/ml/raw_snippets_generated/array_length_index_misuse/fixed/GenArrayIndexFix159.java,36,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,16.0
gen_off_by_one_bug_080,data/ml/raw_snippets_generated/off_by_one/buggy/GenOffByOneBug080.java,22,1,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,18.0
gen_off_by_one_bug_080,data/ml/raw_snippets_generated/off_by_one/buggy/GenOffByOneBug080.java,37,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,17.0
gen_off_by_one_fix_080,data/ml/raw_snippets_generated/off_by_one/fixed/GenOffByOneFix080.java,22,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,17.0
gen_off_by_one_fix_080,data/ml/raw_snippets_generated/off_by_one/fixed/GenOffByOneFix080.java,37,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,17.0
gen_missing_break_bug_133,data/ml/raw_snippets_generated/missing_break_in_switch/buggy/GenMissingBreakBug133.java,4,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,18.0
gen_missing_break_fix_133,data/ml/raw_snippets_generated/missing_break_in_switch/fixed/GenMissingBreakFix133.java,4,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,18.0
gen_array_index_bug_097,data/ml/raw_snippets_generated/array_length_index_misuse/buggy/GenArrayIndexBug097.java,4,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,18.0
gen_array_index_fix_097,data/ml/raw_snippets_generated/array_length_index_misuse/fixed/GenArrayIndexFix097.java,4,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,18.0
gen_array_index_bug_039,data/ml/raw_snippets_generated/array_length_index_misuse/buggy/GenArrayIndexBug039.java,17,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,16.0
gen_array_index_fix_039,data/ml/raw_snippets_generated/array_length_index_misuse/fixed/GenArrayIndexFix039.java,17,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,16.0
gen_clean_tail_index_010,data/ml/raw_snippets_generated/clean/GenCleanTailIndex010.java,23,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,16.0
gen_incorrect_cond_bug_090,data/ml/raw_snippets_generated/incorrect_conditional_operator/buggy/GenIncorrectConditionalBug090.java,11,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,18.0
gen_incorrect_cond_fix_090,data/ml/raw_snippets_generated/incorrect_conditional_operator/fixed/GenIncorrectConditionalFix090.java,11,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,18.0
gen_incorrect_cond_bug_155,data/ml/raw_snippets_generated/incorrect_conditional_operator/buggy/GenIncorrectConditionalBug155.java,4,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,17.0
gen_incorrect_cond_fix_155,data/ml/raw_snippets_generated/incorrect_conditional_operator/fixed/GenIncorrectConditionalFix155.java,4,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,17.0
gen_missing_break_bug_147,data/ml/raw_snippets_generated/missing_break_in_switch/buggy/GenMissingBreakBug147.java,33,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,16.0
gen_missing_break_fix_147,data/ml/raw_snippets_generated/missing_break_in_switch/fixed/GenMissingBreakFix147.java,34,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,16.0
