line_count,char_count,parse_crashed,parse_completeness,has_error_nodes,error_node_count,missing_node_count,unstable_span_count,class_declaration_count,method_declaration_count,local_variable_declaration_count,return_statement_count,while_statement_count,assignment_expression_count,binary_expression_count,max_ast_depth,ast_node_count,for_statement_count,loop_condition_contains_lt,loop_condition_contains_leq,loop_condition_contains_gt,loop_condition_contains_geq,loop_condition_contains_length,loop_condition_off_by_one_pattern_count,loop_condition_leq_bare_length_count,for_node_with_array_access_count,max_for_loop_body_size,if_statement_count,assignment_inside_if_condition_count,equality_in_if_condition_count,boolean_literal_in_if_condition_count,logical_operator_in_if_condition_count,array_access_count,array_index_uses_length_directly_count,array_index_uses_length_expression_count,unique_arrays_accessed_count,switch_block_count,switch_case_group_count,switch_case_ends_with_terminator_count,switch_fallthrough_case_count,switch_empty_stacked_label_count,switch_default_label_count,switch_comment_count,max_switch_case_body_size,while_condition_with_method_call_count,while_condition_with_field_access_count,while_condition_true_literal_count,while_body_with_exit_count,while_body_method_call_count,while_condition_var_updated_count,while_condition_var_not_updated_count,max_while_body_size,target,snippet_id,primary_label
11,262,0,1.0,0,0,0,0,1,1,2,0,0,0,1,11,106,1,1,1,0,0,1,1,1,1,20,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,off_by_one_bug_001,OFF_BY_ONE_LOOP_BOUNDARY
11,261,0,1.0,0,0,0,0,1,1,2,0,0,0,1,11,106,1,1,0,0,0,1,0,0,1,20,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,off_by_one_fix_001,NO_ISSUE
11,293,0,1.0,0,0,0,0,1,1,2,0,0,0,2,12,114,1,1,1,0,0,1,1,1,1,26,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,off_by_one_bug_002,OFF_BY_ONE_LOOP_BOUNDARY
11,292,0,1.0,0,0,0,0,1,1,2,0,0,0,2,12,114,1,1,0,0,0,1,0,0,1,26,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,off_by_one_fix_002,NO_ISSUE
14,313,0,1.0,0,0,0,0,1,1,3,0,0,1,1,10,120,1,1,1,0,0,1,1,1,1,13,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,off_by_one_bug_003,OFF_BY_ONE_LOOP_BOUNDARY
14,312,0,1.0,0,0,0,0,1,1,3,0,0,1,1,10,120,1,1,0,0,0,1,0,0,1,13,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,off_by_one_fix_003,NO_ISSUE
12,298,0,1.0,0,0,0,0,1,1,3,0,0,1,1,10,125,1,1,1,0,0,1,1,1,1,17,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,off_by_one_bug_004,OFF_BY_ONE_LOOP_BOUNDARY
12,297,0,1.0,0,0,0,0,1,1,3,0,0,1,1,10,125,1,1,0,0,0,1,0,0,1,17,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,off_by_one_fix_004,NO_ISSUE
11,277,0,1.0,0,0,0,0,1,1,2,0,0,0,1,11,108,1,1,1,0,0,1,1,1,1,20,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,off_by_one_bug_005,OFF_BY_ONE_LOOP_BOUNDARY
11,276,0,1.0,0,0,0,0,1,1,2,0,0,0,1,11,108,1,1,0,0,0,1,0,0,1,20,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,off_by_one_fix_005,NO_ISSUE
16,384,0,1.0,0,0,0,0,1,1,3,0,0,1,2,12,138,1,1,1,0,0,1,1,1,1,29,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,off_by_one_bug_006,OFF_BY_ONE_LOOP_BOUNDARY
16,383,0,1.0,0,0,0,0,1,1,3,0,0,1,2,12,138,1,1,0,0,0,1,0,0,1,29,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,off_by_one_fix_006,NO_ISSUE
14,325,0,1.0,0,0,0,0,1,1,3,0,0,1,1,10,120,1,1,1,0,0,1,1,1,1,13,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,off_by_one_bug_007,OFF_BY_ONE_LOOP_BOUNDARY
14,324,0,1.0,0,0,0,0,1,1,3,0,0,1,1,10,120,1,1,0,0,0,1,0,0,1,13,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,off_by_one_fix_007,NO_ISSUE
11,289,0,1.0,0,0,0,0,1,1,2,0,0,0,1,11,114,1,1,1,0,0,1,1,1,1,20,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,off_by_one_bug_008,OFF_BY_ONE_LOOP_BOUNDARY
